Location,No.of Deaths Male,No.of Deaths Female,Grievous Injury Male,Grievous Injury Female,Non Grievous Injury Male,Non Grievous Injury Female,Total
Ampara ,58,11,206,38,589,139,1041
Anuradhapura,134,18,391,76,746,222,1587
Badulla ,51,8,141,34,323,152,709
Batticaloa ,27,3,74,14,210,32,360
Chilaw ,102,21,291,55,447,82,998
Colombo ,176,48,956,280,2027,675,4162
Galle ,125,27,372,105,1008,320,1957
Gampaha ,275,67,850,195,1983,502,3872
Jaffna ,27,2,61,15,146,42,293
Kalutara ,106,28,427,110,900,315,1886
Kandy ,81,23,297,99,1151,485,2136
Kegalle ,90,12,354,107,499,466,1528
Kilinochchi ,59,11,146,35,242,86,579
Kurunegala ,158,36,636,150,1101,326,2407
Mannar ,13,1,32,6,90,12,154
Matale ,46,1,247,54,512,236,1096
Matara ,63,16,239,61,548,174,1101
Monaragala ,45,3,193,46,473,152,912
Mullativ ,0,0,2,2,9,0,13
Nuwara Eliya ,21,3,53,10,311,137,535
Polonnaruwa ,58,6,186,51,312,70,683
Ratnapura ,106,28,315,83,609,219,1360
Tangalle ,107,18,194,47,353,88,807
Trincomalee ,22,4,90,13,329,63,521
Vavuniya ,13,3,18,3,81,16,134
Total,1963,398,6771,1689,14999,5011,30831
